date,bike_usage
2015-01-01,127
2015-01-02,213
2015-01-03,142
2015-01-04,112
2015-01-05,337
2015-01-06,267
2015-01-07,296
2015-01-08,247
2015-01-09,275
2015-01-10,162
2015-01-11,134
2015-01-12,279
2015-01-13,387
2015-01-14,379
2015-01-15,287
2015-01-16,345
2015-01-17,171
2015-01-18,244
2015-01-19,330
2015-01-20,490
2015-01-21,450
2015-01-22,511
2015-01-23,523
2015-01-24,60
2015-01-25,163
2015-01-26,271
2015-01-28,53
2015-01-29,246
2015-01-30,233
2015-01-31,106
2015-02-01,149
2015-02-02,7
2015-02-03,81
2015-02-04,208
2015-02-05,161
2015-02-06,210
2015-02-07,142
2015-02-08,53
2015-02-10,29
2015-02-11,161
2015-02-12,171
2015-02-13,173
2015-02-14,64
2015-02-16,11
2015-02-17,105
2015-02-18,199
2015-02-19,170
2015-02-20,191
2015-02-21,102
2015-02-22,132
2015-02-23,237
2015-02-24,233
2015-02-25,299
2015-02-26,268
2015-02-27,289
2015-02-28,175
2015-03-01,12
2015-03-02,289
2015-03-03,298
2015-03-04,287
2015-03-05,367
2015-03-06,382
2015-03-07,221
2015-03-08,194
2015-03-09,491
2015-03-10,541
2015-03-11,612
2015-03-12,489
2015-03-13,524
2015-03-14,100
2015-03-15,128
2015-03-16,483
2015-03-17,342
2015-03-18,339
2015-03-19,351
2015-03-20,368
2015-03-21,191
2015-03-22,199
2015-03-23,399
2015-03-24,463
2015-03-25,553
2015-03-26,385
2015-03-27,483
2015-03-28,163
2015-03-29,349
2015-03-30,579
2015-03-31,688
2015-04-01,750
2015-04-02,748
2015-04-03,663
2015-04-04,489
2015-04-05,373
2015-04-06,625
2015-04-07,586
2015-04-08,503
2015-04-09,426
2015-04-10,623
2015-04-11,673
2015-04-12,993
2015-04-13,942
2015-04-14,804
2015-04-15,913
2015-04-16,804
2015-04-17,2428
2015-04-18,3220
2015-04-19,3009
2015-04-20,1236
2015-04-21,3285
2015-04-22,3879
2015-04-23,3328
2015-04-24,3187
2015-04-25,2900
2015-04-26,2451
2015-04-27,3350
2015-04-28,3865
2015-04-29,4418
2015-04-30,4372
2015-05-01,4286
2015-05-02,3746
2015-05-03,4274
2015-05-04,5204
2015-05-05,4632
2015-05-06,5493
2015-05-07,5653
2015-05-08,5246
2015-05-09,4315
2015-05-10,4306
2015-05-11,4920
2015-05-12,5083
2015-05-13,5451
2015-05-14,5684
2015-05-15,5581
2015-05-16,4118
2015-05-17,4941
2015-05-18,4810
2015-05-19,3252
2015-05-20,4557
2015-05-21,5321
2015-05-22,5497
2015-05-23,4119
2015-05-24,4933
2015-05-25,4461
2015-05-26,5596
2015-05-27,5825
2015-05-28,5392
2015-05-29,6040
2015-05-30,4969
2015-05-31,1438
2015-06-01,1408
2015-06-02,2202
2015-06-03,4963
2015-06-04,5383
2015-06-05,5612
2015-06-06,4262
2015-06-07,4546
2015-06-08,5210
2015-06-09,5288
2015-06-10,5820
2015-06-11,5942
2015-06-12,6042
2015-06-13,5073
2015-06-14,4935
2015-06-15,1496
2015-06-16,5119
2015-06-17,6246
2015-06-18,6124
2015-06-19,5803
2015-06-20,4797
2015-06-21,1727
2015-06-22,5822
2015-06-23,5453
2015-06-24,6502
2015-06-25,6315
2015-06-26,5688
2015-06-27,4366
2015-06-28,895
2015-06-29,5216
2015-06-30,5977
2015-07-01,4132
2015-07-02,6044
2015-07-03,4918
2015-07-04,5252
2015-07-05,4620
2015-07-06,5975
2015-07-07,5992
2015-07-08,6194
2015-07-09,6228
2015-07-10,5874
2015-07-11,5186
